0,0,1244,2474,-1,-1,-1,-1,-1,-1
1,31.2322,926,1838,-1,-1,-1,-1,-1,-1
2,7.4982,2372,12007,-1,-1,-1,-1,-1,-1
3,7.57283,2372,12007,-1,-1,-1,-1,-1,-1
4,5.43008,5048,14876,-1,-1,-1,-1,-1,-1
5,21.8383,9020,46758,-1,-1,-1,-1,-1,-1
6,1.3126,9020,46758,0,0.298527,3.14159,2.40123,1e+50,6.24492e+47
8,55.7255,1797,9589,5.2275e-05,0.475583,3.1394,2.08471,3630.7,16.3821
7,2.83142,6737,33099,5.2275e-05,0.569012,3.1394,2.00091,3630.7,9.21231
8,16.9819,3264,16616,0.000250799,0.604613,3.13915,1.97255,3597.57,7.86797
9,10.3407,3264,16460,0.000452629,0.632634,3.13658,1.91419,3597.57,6.76879
10,7.96815,3264,16460,0.000616521,0.66794,3.13658,1.88376,3283.67,5.89997
7,2.18766,4882,23866,0.000616521,0.684842,3.13658,1.87713,3283.67,5.42902
8,12.269,3284,16523,0.00970625,0.679964,3.1031,1.86781,248.815,5.05722
9,8.59431,3284,16513,0.00970625,0.683286,3.1031,1.85818,248.815,4.98408
10,8.12158,3284,16513,0.00970625,0.703089,3.1031,1.83652,248.815,4.86035
7,2.02871,4340,21189,0.00970625,0.707839,3.1031,1.84405,248.815,4.74718
8,11.3348,3278,16492,0.00970625,0.701886,3.1031,1.83844,248.815,4.85887
9,8.91916,3278,16513,0.00970625,0.702075,3.1031,1.83546,248.815,4.82806
10,7.45971,3278,16513,0.00976188,0.711772,3.10239,1.82423,247.097,4.76873
7,2.08456,4149,20268,0.00976188,0.713652,3.10239,1.83359,247.097,4.69098
8,10.5936,3303,16608,0.00976188,0.709744,3.10239,1.82766,247.097,4.77454
9,8.38111,3303,16612,0.00976188,0.710706,3.10239,1.82467,247.097,4.75078
10,7.06549,3303,16612,0.00976188,0.71721,3.10239,1.8164,247.097,4.71017
11,0.489159,-1,-1,-1,-1,-1,-1,-1,-1
7,4.60484,9618,48556,0.00976188,0.695368,3.10239,1.86316,208.924,4.85353
8,26.1127,5355,27759,0.0213128,0.721136,3.061,1.83354,122.648,4.44427
9,16.9462,5355,27827,0.0213128,0.723269,3.05221,1.82588,122.648,4.37951
10,14.4074,5355,27827,0.0304695,0.755497,3.05925,1.79393,98.4985,4.20145
7,4.69787,7700,38693,0.0304695,0.748474,3.05925,1.81092,98.4985,4.2479
8,20.9917,5446,28305,0.0304695,0.751205,3.06329,1.79727,98.4985,4.20921
9,18.8807,5446,28343,0.0304695,0.751615,3.05925,1.7948,66.4259,4.18895
10,13.1723,5446,28343,0.0304793,0.767397,3.05973,1.77654,66.4259,4.10955
7,4.76545,7138,35899,0.0304793,0.760243,3.05973,1.79221,66.4259,4.15835
8,19.7003,5405,28116,0.0304793,0.765041,3.05973,1.77938,66.4259,4.11852
9,18.2198,5405,28151,0.0320577,0.764763,3.05728,1.77819,66.4259,4.11116
10,13.0798,5405,28151,0.0322693,0.774701,3.06452,1.76559,66.4259,4.06622
11,0.635209,-1,-1,-1,-1,-1,-1,-1,-1
7,5.9992,10738,56016,0.0212077,0.713874,3.08003,1.84018,49.3179,4.61569
8,32.2416,7152,38057,0.0291422,0.750703,3.06891,1.80271,37.1836,4.15068
9,21.3934,7152,38121,0.0322139,0.752084,3.06891,1.79797,37.1836,4.11758
10,15.0835,7152,38121,0.0301184,0.775712,3.1,1.77443,38.4584,3.97562
7,4.92932,8926,46582,0.0301184,0.763665,3.0563,1.79111,37.1836,4.06695
8,23.3922,7028,37525,0.0468199,0.772792,3.04713,1.77558,37.1836,3.97601
9,21.0307,7028,37546,0.0474013,0.77308,3.03271,1.77442,37.1836,3.96982
10,15.0848,7028,37546,0.047455,0.784669,3.03271,1.7614,37.1836,3.91384
7,4.80242,8388,43889,0.047455,0.774183,3.02013,1.77727,37.1836,3.98794
8,21.8984,6983,37314,0.047455,0.782687,3.03271,1.76398,37.1836,3.92425
9,22.3565,6983,37351,0.047455,0.782516,3.03271,1.76363,37.1836,3.92189
10,15.2212,6983,37351,0.0478652,0.789019,3.03271,1.75571,37.1836,3.89156
8,34.0983,6867,36734,0.0478652,0.788433,3.03271,1.75651,37.1836,3.89624
12,36.3294,3292,12845,0.0478652,0.762635,2.95576,1.78132,37.1836,4.08334
13,-1,0,-1,-1,-1,-1,-1,-1,-1
