0,0,482,960,-1,-1,-1,-1,-1,-1
1,6.64065,454,904,-1,-1,-1,-1,-1,-1
2,13.2105,3379,17091,-1,-1,-1,-1,-1,-1
3,2.42617,3379,17091,-1,-1,-1,-1,-1,-1
4,1.50139,3575,17479,-1,-1,-1,-1,-1,-1
5,2.56272,4085,20053,-1,-1,-1,-1,-1,-1
6,0.616315,4085,20053,1.46759e-07,0.66598,3.14159,1.908,500185,1600.98
8,32.8383,2731,13872,2.62362e-07,0.714758,3.14159,1.84789,71323.1,182.137
7,5.53757,13652,68703,2.62362e-07,0.709492,3.14159,1.88649,71323.1,85.0071
8,23.7071,5801,29924,2.62362e-07,0.763161,3.14159,1.81503,71323.1,49.6231
9,16.5656,5801,29805,0.171729,0.778273,2.75811,1.79168,9.60842,3.88942
10,8.364,5801,29805,0.252716,0.817008,2.68368,1.75625,7.04101,3.67593
8,9.16081,5213,26936,0.252716,0.817231,2.68368,1.76082,7.04101,3.68292
12,9.07613,1724,8539,0.252716,0.808915,2.68368,1.75353,7.04101,3.69004
13,-1,0,-1,-1,-1,-1,-1,-1,-1
