0,0,1119,2234,-1,-1,-1,-1,-1,-1
1,12.3861,1000,1996,-1,-1,-1,-1,-1,-1
2,6.51934,2419,12346,-1,-1,-1,-1,-1,-1
3,7.82588,2419,12346,-1,-1,-1,-1,-1,-1
4,7.29021,6640,16411,-1,-1,-1,-1,-1,-1
5,25.9763,12146,66557,-1,-1,-1,-1,-1,-1
6,1.59939,12146,66557,0,0.273729,3.14159,2.43375,1e+50,9.16508e+46
8,72.0255,2369,13021,0,0.438469,3.14159,2.12416,6.51714e+06,2306.38
7,3.64543,8761,44449,0,0.559929,3.14159,2.01024,6.51714e+06,679.774
8,27.2342,4001,21291,0,0.557143,3.14159,2.00844,6.51714e+06,1057.07
9,14.5041,4001,20720,0,0.586435,3.14159,1.94714,6.51714e+06,942.875
