0,0,1119,2234,-1,-1,-1,-1,-1,-1
1,14.8844,1038,2072,-1,-1,-1,-1,-1,-1
2,6.65261,2457,12565,-1,-1,-1,-1,-1,-1
3,7.99338,2457,12565,-1,-1,-1,-1,-1,-1
4,7.44141,6737,16663,-1,-1,-1,-1,-1,-1
5,27.9929,12327,67717,-1,-1,-1,-1,-1,-1
6,1.61297,12327,67717,0,0.269942,3.14159,2.43824,1e+50,1.32906e+46
8,85.0516,2471,13807,0,0.429045,3.14159,2.13381,6.50848e+06,2141.15
7,3.74278,8894,45235,0,0.551131,3.14159,2.01087,6.50848e+06,657.692
8,26.969,4132,22203,0,0.54687,3.14159,2.01675,6.50848e+06,986.716
9,14.6825,4132,21530,0,0.580182,3.14159,1.94726,6.50848e+06,728.323
