0,0,8,12,-1,-1,-1,-1,-1,-1
1,5.21077,8,12,-1,-1,-1,-1,-1,-1
2,9.90899,2517,11328,-1,-1,-1,-1,-1,-1
3,5.26171,2517,11328,-1,-1,-1,-1,-1,-1
4,8.29367,6549,16614,-1,-1,-1,-1,-1,-1
5,30.086,13839,71740,-1,-1,-1,-1,-1,-1
6,1.73535,13839,71740,0,0.508176,3.14159,2.20742,1e+50,3.91692e+47
8,87.5581,3597,18400,0.0690813,0.696899,3.0129,1.84114,22.9948,4.45213
7,5.46787,13325,65861,0.0690813,0.711912,2.95645,1.87616,18.3823,4.39697
8,31.733,5245,26702,0.223822,0.764658,2.81701,1.81114,8.64737,3.93424
9,13.8676,5245,26681,0.227327,0.772043,2.81701,1.79796,8.3896,3.89011
10,12.9543,5245,26681,0.263281,0.811569,2.76445,1.7632,7.51535,3.67854
8,6.4712,4758,24120,0.321751,0.815953,2.66921,1.7617,6.48486,3.66743
12,13.9086,3106,15350,0.347064,0.829887,2.59097,1.74939,5.85092,3.61302
13,-1,0,-1,-1,-1,-1,-1,-1,-1
